cell_line,condition,score,type,label
PANC-1,WT2,0.47363457,real,negative
Hela,KO2,0.39405692,real,negative
PANC-1,OE1,0.002258493,real,negative
PANC-1,WT3,0.011440644,real,negative
Hela,WT3,0.95616037,real,negative
Hela,WT1,0.12776561,real,negative
PANC-1,WT1,0.006076177,real,negative
Hela,KO1,0.6262453,real,negative
Hela,KO2,0.004405056,real,negative
PANC-1,OE1,0.008441327,real,negative
PANC-1,WT2,0.012588274,real,negative
PANC-1,WT3,0.006601382,real,negative
PANC-1,OE1,0.012734933,real,negative
Hela,WT3,0.1279688,real,negative
Hela,WT2,0.9370071,real,positive
Hela,KO1,0.29732013,real,negative
Hela,KO3,0.13648346,real,negative
PANC-1,OE1,0.007556522,real,negative
PANC-1,OE1,0.5361805,real,negative
PANC-1,OE1,0.7184938,real,negative
PANC-1,WT3,0.1429272,real,negative
Hela,WT3,0.12861486,real,negative
Hela,WT3,0.04440655,real,negative
PANC-1,OE3,0.97773355,real,negative
PANC-1,OE1,0.14418809,real,negative
Hela,KO3,0.21457623,real,negative
Hela,WT1,0.9434168,real,negative
PANC-1,OE2,0.48147842,real,negative
PANC-1,OE1,0.035006393,real,negative
Hela,WT2,0.9218342,real,negative
Hela,WT3,0.47291186,real,negative
Hela,KO2,0.08318034,real,negative
Hela,KO2,0.020817734,real,negative
PANC-1,WT1,0.010146821,real,negative
Hela,WT3,0.014889917,real,negative
PANC-1,WT1,0.8246508,real,negative
PANC-1,OE3,0.030006379,real,negative
Hela,WT3,0.015881011,real,negative
Hela,WT3,0.51411813,real,negative
PANC-1,OE1,0.019269422,real,negative
Hela,KO3,0.004489655,real,negative
PANC-1,OE2,0.00482154,real,negative
Hela,KO3,0.6078298,real,negative
Hela,WT3,0.045789033,real,negative
PANC-1,WT2,0.004757382,real,negative
Hela,WT3,0.5257979,real,negative
Hela,WT1,0.31611896,real,negative
Hela,KO1,0.49675116,real,negative
Hela,WT3,0.15262358,real,negative
Hela,WT1,0.6348289,real,negative
PANC-1,WT3,0.14157198,real,negative
PANC-1,WT2,0.50127655,real,negative
PANC-1,WT3,0.16541073,real,negative
Hela,KO2,0.94383615,real,negative
PANC-1,OE2,0.00992954,real,negative
PANC-1,WT1,0.012189218,real,negative
PANC-1,WT2,0.051815026,real,negative
PANC-1,WT2,0.00534149,real,negative
PANC-1,WT3,0.19793473,real,negative
PANC-1,WT1,0.028839888,real,negative
PANC-1,OE3,0.028799748,real,negative
PANC-1,OE2,0.20467536,real,negative
PANC-1,OE2,0.055021416,real,negative
Hela,WT3,0.29651886,real,negative
PANC-1,OE3,0.1352526,real,negative
Hela,WT3,0.8972634,real,negative
PANC-1,WT2,0.011037499,real,negative
PANC-1,WT3,0.001514131,real,negative
PANC-1,OE1,0.004986678,real,negative
Hela,WT1,0.9427082,real,negative
PANC-1,OE1,0.003151594,real,negative
Hela,WT3,0.58006006,real,negative
PANC-1,WT3,0.14594063,real,negative
Hela,WT1,0.056071177,real,negative
Hela,WT1,0.99126184,real,negative
